State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
IL,JEFFERSON,2,50,2,3.0,3.0
WI,MONROE,2,50,0,3.5,3.5
CO,LA PLATA,2,0,2,5.0,5.0
IA,LEE,2,100,2,3.0,3.0
KS,WILSON,2,0,0,4.0,4.0
OR,LINN,2,0,1,3.0,3.0
NC,CATAWBA,2,0,2,2.0,2.0
UT,SAN JUAN,2,50,0,nan,nan
MT,MADISON,2,0,0,nan,nan
UT,BEAVER,2,0,0,nan,nan
NC,DAVIDSON,2,100,2,2.5,2.5
WA,LEWIS,2,0,1,4.0,4.0
OH,SANDUSKY,2,0,2,4.0,4.0
CO,PUEBLO,2,50,2,3.5,3.5
MN,WRIGHT,2,0,1,4.0,4.0
NY,FRANKLIN,2,0,2,3.0,3.0
IL,MACOUPIN,2,100,0,4.0,4.0
IN,VANDERBURGH,2,100,2,2.5,2.5
WI,WASHBURN,2,50,0,4.0,4.0
LA,WASHINGTON,2,0,1,3.0,3.0
IN,TIPPECANOE,2,50,2,4.0,4.0
WY,PARK,2,0,0,3.5,3.5
OR,UMATILLA,2,50,0,4.0,4.0
PA,COLUMBIA,2,50,2,3.0,3.0
VT,WINDSOR,2,100,0,3.0,3.0
NC,MACON,2,100,0,3.5,3.5
ME,YORK,2,100,2,3.0,3.0
MT,GALLATIN,2,100,2,4.0,4.0
SD,CHARLES MIX,2,50,0,nan,nan
MN,BIG STONE,2,50,0,3.0,3.0
ME,PISCATAQUIS,2,50,0,3.0,3.0
SD,BROWN,2,50,2,4.0,4.0
KS,SHAWNEE,2,50,2,2.5,2.5
AL,FRANKLIN,2,0,1,4.0,4.0
IN,FLOYD,2,50,2,3.5,3.5
GA,HOUSTON,2,100,2,4.0,4.0
OK,ROGERS,2,0,2,3.0,3.0
MN,YELLOW MEDICINE,2,0,0,4.0,4.0
LA,VERNON,2,0,2,2.0,2.0
KS,WASHINGTON,2,0,0,nan,nan
IL,TAZEWELL,2,100,1,3.5,3.5
SD,HUTCHINSON,2,100,0,4.0,4.0
CO,PHILLIPS,2,0,0,nan,nan
TX,ROCKWALL,2,0,2,3.0,3.0
WI,LA CROSSE,2,100,2,4.5,4.5
PA,CUMBERLAND,2,50,2,4.0,4.0
TN,CUMBERLAND,2,50,2,2.5,2.5
CT,WINDHAM,2,100,2,4.0,4.0
NY,OTSEGO,2,50,2,2.5,2.5
GA,COWETA,2,50,2,3.5,3.5
TX,CHAMBERS,2,0,0,nan,nan
