State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
MO,CLAY,3,0,2,3.0,3.0
MS,HARRISON,3,0,3,2.0,2.0
ID,ADA,3,33,3,4.0,4.0
MI,OTTAWA,3,66,3,4.666666666666667,5.0
WI,DODGE,3,66,2,4.0,4.0
MI,SANILAC,3,99,0,3.5,3.5
WY,NATRONA,3,0,3,3.0,3.0
WA,OKANOGAN,3,0,0,3.0,3.0
PA,NORTHAMPTON,3,66,3,3.6666666666666665,4.0
AK,ANCHORAGE,3,0,3,3.3333333333333335,4.0
NJ,UNION,3,66,3,2.3333333333333335,2.0
OR,MARION,3,66,3,3.6666666666666665,4.0
CA,MENDOCINO,3,0,1,3.0,3.0
LA,TERREBONNE,3,0,3,4.0,4.0
PA,BRADFORD,3,66,2,3.0,3.0
